Title|Gross
Arlington Road|24362501
Billy's Hollywood Screen Kiss|2020700
Les Boys II|5974732
Conte d'automne|2082061
Entrapment|87704396
Fight Club|37023395
Shakespeare in Love|100241322
The 24 Hour Woman|109148
The Astronaut's Wife|10654581
Edge of Seventeen|870751
Head On|378667
Hit and Runway|81570
Idle Hands|4002955
Intolerable Cruelty|35327628
Man of the Century|33031
Kurt & Courtney|441808
The Man with Rain in His Shoes|258464
Het ondergrondse orkest|5809
The Opportunists|581142
Pi|3216970
The Road to El Dorado|50802661
Three Seasons|2019237
The Yards|882710
20 Dates|536767
2by4|16637
Cruel Intentions|38201895
Inferno|677374
Floating|5651
Go|16842303
High Art|1929168
The Joyriders|64579
Lake Placid|31768374
Message in a Bottle|52799004
Modulations|138425
Regarde la mer|49476
Slam|982214
Training Day|76261036
True Crime|16635339
Varsity Blues|52885587
The Thirteenth Floor|11802224
Badsha|7397000
Bastards|503
The Boys|2930
Così ridevano|44286
In God's Hands|1379977
The Insider|28965197
A Midsummer Night's Dream|16071990
Mumford|4554569
Some Nudity Required|5532
Whatever|307037
Air Bud: Golden Receiver|10215386
Central do Brasil|5595428
Forces of Nature|52878756
Free Enterprise|30193
Jack Frost|34545030
Inspector Gadget|97360069
Isn't She Great|2954405
Classified X|65
Out of the Past|8688
Die Siebtelbauern|196452
Town & Country|6712451
U-571|77086030
The War Zone|237029
Wild Man Blues|425788
Baby Doom|272670
The Corruptor|15156200
Crazy in Alabama|1954202
Histoires d'hiver|138411
Down in the Delta|5662985
Big Daddy|163479795
I'm Losing You|12688
The Ninth Gate|18653746
De Poolse bruid|82638
Resurrection|5020860
The World Is Not Enough|126930660
Friends & Lovers|94633
Knockout|127891
Marie Baie des Anges|111765
Molly|15593
Shattered Image|102523
American Psycho|15070285
The Boondock Saints|25812
Bride of Chucky|32368960
The Cherry Orchard|131188
Committed|40361
Dick|6241697
Dreaming of Joseph Lees|7680
La fille sur le pont|1708496
The General's Daughter|102678089
Nutty Professor II: The Klumps|123307945
Outside Ozona|7394
Shadrach|20167
Three to Tango|10544143
Wildflowers|5365
Holy Smoke|1758780
The Brandon Teena Story|40999
The Rage: Carrie 2|17757087
Highlander: Endgame|12801190
A Place Called Chiapas|229793
Spider-Man|403706375
Sunshine|5095981
Stigmata|50041732
Angela's Ashes|13038660
Austin Powers: The Spy Who Shagged Me|205399422
The Bone Collector|66488090
Playing by Heart|3956212
Simply Irresistible|4394936
Mysteries of Egypt|40593286
Naqoyqatsi|132026
Thirteen Days|34566746
Lara Croft: Tomb Raider|131144183
Urban Legend|38048637
Buddy Boy|10281
Cleopatra's Second Husband|205547
El día que murió el silencio|1742
End of Days|66862068
Any Given Sunday|75530832
High Fidelity|27277055
The Legend of Bagger Vance|30695227
Like It Is|94943
Little Voice|4595000
Olympia|640
Praise|30432
Happiness|2746453
10 Things I Hate About You|38176108
Emporte-moi|73445
Looking for an Echo|8000
Men Cry Bullets|2303
Still Crazy|477903
Deep Blue Sea|73648142
Where the Money Is|5658940
All the Pretty Horses|15527125
Anywhere But Here|18653615
Besieged|2032621
Broken Vessels|13493
Claire Dolan|9480
Coming Soon|3742
Cradle Will Rock|2899970
The Cruise|238434
Dear Jesse|16875
Divine Trash|39842
Double Jeopardy|116735231
Earth|528972
Five Wives, Three Secretaries and Me|4450
Fucking Åmål|168761
Hilary and Jackie|4874838
The Messenger: The Story of Joan of Arc|14276317
Josh|426318
Terminus paradis|18137
Topsy-Turvy|6201757
The Minus Man|368808
My Name Is Joe|346696
Excellent Cadavers|10390
Never Been Kissed|55469238
Office Space|10824921
Pariah|199536
Pola X|172107
Restaurant|65512
Sokout|32898
Spanish Fly|11147
Taxi|138497
Up at the Villa|2927319
When Love Comes|3242
Wirey Spindell|9838
Condo Painting|5373
Dance Me to My Song|6607
Festen|1647780
Idioterne|7235
8 ½ Women|417517
Following|43188
Hey There, It's Yogi Bear|2028378
Speedway Junky|17127
$pent|5069
The Thomas Crown Affair|69304264
The Winslow Boy|3956112
Africa's Elephant Kingdom|13485455
Didn't Do It for Love|10525
Flawless|4485485
Forever Fever|19319
Gloomy Sunday - Ein Lied von Liebe und Tod|223827
I'll Be Home for Christmas|12213678
Jawbreaker|3071947
Kanzo sensei|71832
Psycho|21380220
Spring Forward|102353
Screwed|7027345
The Big Tease|185577
Mad About Mambo|61663
Mia aioniotita kai mia mera|106486
My Dog Skip|34099640
Le nain rouge|6499
The Next Best Thing|14983572
Perfect Blue|99389
Sib|116758
Random Hearts|31054924
Seul contre tous|54735
The Suburbans|5797
Trolösa|734597
Went to Coney Island on a Mission from God... Be Back by Five|15970
West Beyrouth|343229
L'école de la chair|401786
Clockstoppers|36985501
Drop Dead Gorgeous|10561238
Dillagi|432200
Enga Veetu Pillai|719000
Enigma|4298329
La Cucaracha|32142
The Mirror|11417
Nora|12297
River Red|2197
Under solen|288083
Sweet and Lowdown|4196621
Belly|9630169
C't'à ton tour, Laura Cadieux|1633000
Deterrence|144583
The Flintstones in Viva Rock Vegas|35231365
Muppets from Space|16290976
South Park: Bigger Longer & Uncut|52008288
The Virgin Suicides|4859475
Beautiful People|261360
Behind Enemy Lines|59068786
Cold Mountain|95632614
Cotton Mary|299351
Croupier|6198916
The Adventures of Elmo in Grouchland|11634458
Encounter in the Thrid Dimension|7195401
Relax... It's Just Sex|452654
The Art of War|30199105
Charlie's Angels|125305545
D-Tox|79161
A Dog of Flanders|2148212
Dudley Do-Right|9694105
Trippin'|9016377
Guinevere|614202
Imelda|220000
Impostor|6114237
In Too Deep|14003141
The Independent|238431
The King and I|11956538
Lost Souls|16779636
Luminarias|428535
Agnes Browne|140426
A Map of the World|544538
Passion of Mind|769009
Joe the King|59014
Punks|147593
Rules of Engagement|61322858
She's All That|63319509
The Story of Us|27067160
Pure|102009
Tumbleweeds|1281176
What Lies Beneath|155370362
What's the Worst That Could Happen?|32095318
The Wood|25047631
The Young Girl and the Monsoon|8759
Steal This Movie|76053
The Last Big Thing|22434
Nirgendwo in Afrika|6173485
Revelation|206626
Simon Magus|38214
Tuvalu|408744
Two Ninas|10976
Yom Yom|2442
Cast Away|233630478
Just Looking|39852
Ghost World|6200756
Goat on Fire and Smiling Fish|277233
Happy, Texas|1943649
Shaft|70334258
Sleepy Hollow|101068340
A Slipping-Down Life|95436
Summer of Sam|19283782
Trick|2049595
Trixie|285618
Twin Falls Idaho|985341
Three Days of Rain|2841
Jing Ke ci Qin Wang|1328435
Catfish in Black Bean Sauce|1315573
Get Real|1152411
Hanging Up|36037909
Jurassic Park III|181166115
Placebo Effect|1190
Rosie|9579
Runaway Bride|152149590
Bravo|2345000
Chill Factor|11227940
Galapagos: The Enchanted Voyage|16946586
American Pie|101736215
The In Crowd|5217498
The Debut|1743570
T-Rex: Back to the Cretaceous|53134645
The Beach|39778599
Bless the Child|29374178
Blood, Guts, Bullets and Octane|13674
Bringing Out the Dead|16640210
City of Ghosts|325491
Happenstance|251444
Hollow Man|73209340
Limbo|1997807
The Muse|11614236
Drive Me Crazy|17843379
Stir of Echoes|21133087
The Sum of All Fears|118471320
Under Suspicion|258691
Virtual Sexuality|43865
42: Forty Two Up|259068
Along Came a Spider|74058698
Ingagi|4000000
Kærlighed ved første hik|3328487
Mifunes sidste sang|585016
Stuart Little|140015224
Spriggan|7420
Vidocq|565693
Wandâfuru raifu|801985
Ringmaster|9247881
Black and White|5241315
Detroit Rock City|4193025
Felicia's Journey|819852
Ghost Dog: The Way of the Samurai|3300230
Held Up|4692814
The Limey|3193102
Let's Talk About Sex|417827
Liberty Heights|3732398
The Monster|21363
Romeo Must Die|55973336
Sinbad: Legend of the Seven Seas|26288320
The Tic Code|203849
Babar: King of the Elephants|49090
Bones|7307756
East Is East|4170647
Foolish|6026908
The Love Letter|8276228
Monkeybone|5409517
Solan, Ludvig og Gurin med reverompa|3326176
Waking Ned|24788807
Anna and the King|39251128
Cry of the Wild|4500000
Luminous Motion|51380
Spirit: Stallion of the Cimarron|73215310
The Straight Story|6197866
Mulholland Dr.|7219578
Music of the Heart|14849583
The Adventures of the American Rabbit|1049042
Den eneste ene|5405313
Hellboy|59035104
I Dreamed of Africa|6543194
The Lord of the Rings: The Return of the King|377027325
The Lord of the Rings: The Two Towers|340478898
The Sixth Sense|293501675
Diamonds|81897
Superstar|30628981
Thunderbirds|6768055
Fin août, début septembre|36662
Les enfants du Marais|324006
Simon Sez|292152
The Stewardesses|25000000
Aberdeen|64148
The Adventures of Sebastian Cole|100041
Babymother|5115
Mei shao nian zhi lian|18629
The Best Man|34074895
Bittersweet Motel|380927
Can't Be Heaven|7000000
La ciudad|239074
Dancer in the Dark|4184036
L'ennui|36666
Antwone Fisher|21078145
The Five Senses|497091
Freeriders|2750064
Hjælp, jeg er en fisk|23742
J'aimerais pas crever un dimanche|4488
Just One Time|23374
Let It Come Down: The Life of Paul Bowles|9188
Better Than Chocolate|2011254
Lagaan: Once Upon a Time in India|70147
Bure baruta|108103
The Quarry|3350
Terror Firmer|1434
Theeviravaathi: The Terrorist|140021
Trans|9623
Windhorse|278161
American Beauty|130058047
Biker Dreams|2057
Blindness|1950260
Bornholms stemme|725854
How the Grinch Stole Christmas|260031035
Prince of Central Park|5810
Tigerland|139500
Train de vie|154790
Winnie the Pooh and a Day for Eeyore|12000000
Brown's Requiem|3077
Family Tree|12466
Gun Shy|1631839
Hamlet|1568749
The Haunting|91188905
Keeping the Faith|37036404
Nurse Betty|25167270
Ratcatcher|216781
Soft Toilet Seats|880
Boys Don't Cry|11533945
Wonderland|413595
Bad Boys II|138396624
Ballen i øyet|28414
Bloodsport: The Dark Kumite|11627
The End of the Affair|10660147
Fuori dal mondo|84073
Girl, Interrupted|28871190
Gladiator|187670866
Gaai tau saat sau|14569178
Body Shots|239894
Joe Gould's Secret|641117
Kuch Kuch Hota Hai|2100000
Light It Up|5871603
Sugar Town|177840
Cecil B. DeMented|1276984
Il mio viaggio in Italia|8527
Final Fantasy: The Spirits Within|32131830
Running Free|101431
Simpatico|902144
The Third Miracle|736592
Vénus beauté|416464
Whipped|4142507
Autumn in New York|37752931
Misery Harbour|239139
Herman U.S.A.|71509
The Last Days|419762
The Hurricane|50668906
Loving Jezebel|69470
Schpaaa|450552
Scary Movie|156997084
Shiloh 2: Shiloh Season|2765
30 Days|9709
Dancemaker|240514
Just a Little Harmless Sex|66194
Lenny Bruce: Swear to Tell the Truth|21350
Magnolia|22450975
Na ge bu gou|452000
La otra conquista|886410
The Personals|5870
Single Action|543000
Universal Soldier: The Return|10431220
El abuelo|50037
Alice et Martin|498106
All the Rage|9268
Gossip|5108820
Homo Sapiens 1900|1257
Kids World|14387
Once in the Life|53454
The Wolves of Kromer|11057
Company Man|146028
Les enfants du siècle|54912
Fever|4068
Galaxy Quest|71423726
King of the Jungle|27161
The Perfect Storm|182618434
Sunset Strip|3926
The Invisible Circus|55388
Mansfield Park|4764741
A Reasonable Man|45000
Whiteboyz|36025
Third World Cop|40717
American Pimp|258148
Moonlight Mile|6835856
But I'm a Cheerleader|2199853
South of Heaven, West of Hell|16609
15 Minutes|24375436
The Adventures of Pluto Nash|4411102
Quills|7060876
Requiem for a Dream|3609278
Soft Fruit|11132
Vietnam Long Time Coming|951
The Weekend|31043
Elvis Gratton II: Miracle à Memphis|3116000
Hallelujah! Ron Athey: A Story of Deliverance|719
Hard Ball|40219708
Holy for Me|21000
I Kina spiser de hunde|1520625
Klinkevals|1987371
The Last September|469974
Bossa Nova|1816792
Vanishing Wilderness|17000000
What Planet Are You From?|6291602
American Movie|1160426
Blue Streak|68208190
Est - Ouest|2775520
Finding Forrester|51768623
Judy Berlin|467313
Minority Report|132014112
On the Ropes|47074
Osmosis Jones|13596911
Regret to Inform|22627
Sex: The Annabel Chong Story|233076
Solomon and Gaenor|301754
The Source|360895
The Specials|12996
Terminator 3: Rise of the Machines|150350192
Traffic|124107476
Almost Famous|32522352
Éloge de l'amour|251717
Boiler Room|16938179
The Caveman's Valentine|687081
Love's Labour's Lost|284291
Siegfried & Roy: The Magic Box|5231283
Urbania|1027119
Bicentennial Man|58220776
Island of the Sharks|10658756
The Dogwalker|3732
Falkens öga|31673
Me Myself I|565193
Me, Myself & Irene|90567722
Mission to Mars|60874615
Orfeu|96811
Phone Booth|46563158
Pollock|8596914
A Knight's Tale|56083966
Taxi 2|559412
The Wetonkawa Flash|5030
X|142544
Le petit voleur|37280
Get Bruce|43155
Maryam|104209
O|16017403
Petits frères|2151
Reindeer Games|23360779
Shanghai Noon|56932305
Snow Day|60008303
Whispers: An Elephant's Tale|250000
Wonder Boys|19389454
Pups|4427
Todo sobre mi madre|8264530
Battlefield Earth: A Saga of the Year 3000|21471685
Fomlesen i kattepine|350000
House on Haunted Hill|40846082
Little Nicky|39442871
Suits|3676
The Blair Witch Project|140530114
Drowning Mona|15427192
Frequency|44983704
Jesus' Son|1282084
Buena Vista Social Club|6997620
Space Cowboys|90454043
Sugar & Spice|13276953
Wallowitch & Ross: This Moment|1145
The Young Unknowns|58163
Ça commence aujourd'hui|12348
Bounce|36779296
Down to You|20035310
Gone in Sixty Seconds|101643008
The Patriot|113330342
Slap Her... She's French|116404
Anatomie|5725
Beefcake|275996
Blade II|81645152
Doug's 1st Movie|19421271
Genghis Blues|323881
La lengua de las mariposas|2086098
Price of Glory|3434515
Birthday Girl|4919896
Daytona Beach Weekend|8477000
Gojira ni-sen mireniamu|10037390
Günese yolculuk|4391
Human Traffic|104257
An Invited Guest|100835
Kill by Inches|595
Love Stinks|2622075
Le temps retrouvé, d'après l'oeuvre de Marcel Proust|461493
Un spécialiste, portrait d'un criminel moderne|20021
Unconditional Love|100466
Just Visiting|4777007
Gabriela|2334720
The Girl Next Door|512995
The Big Kahuna|3150107
Kadosh|735864
Miss Julie|13107
Shadow of the Vampire|8279017
Southpaw: The Francis Barrett Story|26822
The Whole Nine Yards|57262492
The Basket|609042
Wo hu cang long|128067808
Dungeons & Dragons|15185241
Left Behind|4223409
O Brother, Where Art Thou?|45506619
Pokémon: The First Movie|85744662
Solas|367939
Vatel|49464
Vertical Limit|68473360
Circus|8406
Rang-e khoda|1810145
New Best Friend|28658
Le dernier souffle|251091
The Fighting Temptations|30238577
The Replacements|44737059
Un pont entre deux rives|44531
La veuve de Saint-Pierre|3058380
28 Days|37035515
Gendernauts - Eine Reise durch die Geschlechter|6002
Get Over It|11560259
Head Over Heels|10397365
Julien Donkey-Boy|80226
The Little Vampire|13555988
Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.|495318
The Skulls|35007180
Swiri|97152
Urban Legends: Final Cut|21468807
La vida es silbar|63574
A Wake in Providence|402805
Stardom|10632
Avenged|1600000
Deceptions|5300000
Enemies of Laughter|150000
Jin-Rô|94591
Raising the Stakes|7092
The Order|564780
Texas Rangers|623374
The Volunteers|3100000
Badding|1438848
Extreme|10203488
Hard|19596
Massoud, l'Afghan|5859
Panic|779137
Romance|1282941
Wildfire: Feel the Heat|2040635
Birds of Passage|11800000
Hei ma wang zi|800000
Saving Grace|12115757
U.S. Seals|31487933
Erin Brockovich|125548685
Final Destination|53302314
Here on Earth|10494147
Meeting People Is Easy|51282
Next Friday|57176582
Pop & Me|5476
Samsara|23560500
MVP: Most Valuable Primate|1246237
Small Time Crooks|17071230
Zoolander|45162741
Grizzly Falls|163339
The Lifestyle|85000
Lockdown|449482
Play It to the Bone|8427204
What's Cooking?|1039374
Adorenarin doraibu|77313
Boesman and Lena|32148
Crime and Punishment in Suburbia|26394
Da jeg traff Jesus... med sprettert|722174
Detektor|1541163
L'humanité|113495
Live Freaky Die Freaky|11290
Where the Heart Is|33771174
The Crew|13019253
Monsters, Inc.|255870172
Gripsholm|233935
The Visit|186444
3 Strikes|9821335
About Adam|151559
In the Cut|4717455
Kikujirô no natsu|198238
Love & Basketball|27441122
Love, Honour and Obey|1143
Red Planet|17480890
Riding in Cars with Boys|29781453
Rosetta|261475
Bad Luck Love|198476
The Bank Job|30028592
Bats|10149779
Biandan, guniang|1446
Chuck & Buck|1050600
Coyote Ugly|60786269
The Golden Bowl|3037579
The House of Mirth|3041803
Mein liebster Feind - Klaus Kinski|95612
The Underground Comedy Movie|856
The Body|33565
Les convoyeurs attendent|5518
Eastside|1003
Phörpa|1067773
A Rumor of Angels|31817
Voyages|1055
Whatever It Takes|8735529
Rock Star|16991902
A Room for Romeo Brass|18434
The Tavern|6096
Two Family House|1015055
Under Hellgate Bridge|28883
The Way of the Gun|6047856
Swimming|161483
The Children of Chabannes|33413
Moulin Rouge!|57386369
Men of Honor|48814909
Nobody|488
Rocky Road|991
Sexy Beast|6946056
Tillsammans|1069156
You Can Count on Me|9180275
American Desi|902835
The Omega Code|12610552
Greenfingers|1439287
Der Krieger und die Kaiserin|871058
One Night at McCool's|6290673
Animal Factory|43805
Boys and Girls|20627372
Exorcist: The Beginning|41814863
Poor White Trash|1404
L'invention de l'amour|11390
Matroni et moi|130572
The Watcher|28927720
Sordid Lives|1079726
Trouble Every Day|85994
Une liaison pornographique|347808
The Waiting Time|2200
The Art of Amália|6900
Camera Obscura|11384
Bring It On|68379000
Deuce Bigalow: Male Gigolo|65535067
Dubbel-8|25113
Dr T and the Women|13113041
Thomas and the Magic Railroad|15911333
Les amants criminels|50470
Blessed Art Thou|15047
The Dish|2252970
Flushed|935
Madison|508867
Keep the River on Your Right: A Modern Cannibal Tale|348507
Psycho Beach Party|265107
Save the Last Dance|91038276
Joy Ride|21973182
The Trumpet of the Swan|152525
Woman on Top|5018450
Ku jing guai tan|69225
And Baby Makes 2|4058
Abschied - Brechts letzter Sommer|10952
Children of Men|35286428
Fast Food Fast Women|186586
The Man Who Cried|739583
Maybe Baby|8351
My First Mister|621377
What Women Want|182805123
Laura Cadieux... la suite|777477
How to Kill Your Neighbor's Dog|48564
Better Living Through Circuitry|81000
Big Momma's House|117559438
Snatch.|30093107
Happy Accidents|688510
The Life and Times of Hank Greenberg|1703901
The Contender|17804273
The King Is Alive|103505
Get Carter|14967182
La stanza del figlio|1014416
New York Beat Movie|100293
Gojitmal|61900
Iedereen beroemd!|74628
Ken Park|55508
Memento|25530884
The Mummy Returns|202007640
Yi ge dou bu neng shao|589114
S.O.S.|201003
Bad ma ra khahad bord|213253
The Wedding Planner|60400856
Beau travail|247606
The Cell|61280963
Gangster No. 1|30915
Ginger Snaps|2554
Girlfight|1523941
Jails, Hospitals & Hip-Hop|10791
Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan|40703929
Songcatcher|3050934
The Testimony of Taliesin Jones|75717
The Weight of Water|102622
Beautiful|3060963
Bootmen|21172
Center Stage|17174870
Goya en Burdeos|716592
Himalaya - l'enfance d'un chef|2481690
En häxa i familjen|28116
The Last Cigarette|3439
Nashan naren nagou|203975
Remember the Titans|115648585
La vie après l'amour|1795758
102 Dalmatians|66941559
Barenaked in America|27714
La bûche|147628
Gouttes d'eau sur pierres brûlantes|86132
Jason X|12610731
Knockaround Guys|11632420
The Luzhin Defence|1051811
Une pour toutes|27600
Vengo|124994
Le fabuleux destin d'Amélie Poulain|33201661
Awake|14373825
Bait|15325127
American Storytellers|16148
Meet the Parents|166244045
Miss Congeniality|106807667
Blow Dry|637769
Rosszfiúk|33570
Snow Days|20555
Tully|433264
2046|261481
Artificial Intelligence: AI|78616689
Big Eden|512451
Bread and Roses|525738
Bride of the Wind|419414
Groove|1114943
Hannibal|165091464
New Waterford Girl|774469
Pearl Harbor|198539855
Rugrats in Paris: The Movie - Rugrats II|76501438
The Amati Girls|33902
Gohatto|47234
Ground Zero|150
Cirque du Soleil: Journey of Man|15186747
The Ladies Man|13592872
Malèna|3429045
Padaiyappa|9268000
Some Fish Can Fly|12499
La vérité si je mens! 2|15700
Burlesk King|39036
Grass|313039
Le monde de Marty|10953
Road Trip|68525609
Russian Doll|127103
Xizao|1153271
Bamboozled|2185266
Enemy at the Gates|51396781
Hochelaga|376714
The 6th Day|34543701
Best Man in Grass Creek|81760
Les blessures assassines|225390
Vampire Hunter D|25521
Les destinées sentimentales|230300
Turn It Up|1244676
Le goût des autres|635282
Harrison's Flowers|1843570
Harry un ami qui vous veut du bien|3818452
Hum Saath-Saath Hain: We Stand United|2005094
Sade|25113
Trois|1160268
Ça ira mieux demain|3744172
Boricua's Bond|103163
Dahek: A Burning Passion|63886
Dancing at the Blue Iguana|30181
Eve|6381
Gangs of New York|77679638
Loser|15464026
Ready to Rumble|12372410
Secret Society|933
Unbreakable|94999143
The Woman Chaser|110720
Beyond the Mat|2047570
Circuit|235087
The Closer You Get|221898
An Everlasting Piece|75078
The Claim|669258
Kippur|110281
Me & Isaac Newton|32269
Pukar|357422
Scarlet Diva|18062
Soul Survivors|3100650
Antitrust|10965209
Best in Show|18621249
Original Sin|16252765
The Family Man|75764085
Strictly Sinatra|1232
Waking Up in Reno|267109
Waydowntown|19583
Dracula 2000|33000377
The Gift|11994719
Heartbreak Hospital|1480
Human Nature|695876
The Kid|69688384
Muhammad Ali, the Greatest|20073
Lucky Numbers|10014234
Bandits|41523271
Slaves of Hollywood|2648
Thicker Than Water|79823
The Tigger Movie|45542421
Timecode|945041
The Valley|693434
When Brendan Met Trudy|132384
Besotted|656
Halloween: Resurrection|30259652
Intacto|302675
Khauff|81825
Maelström|33410
Ressources humaines|116866
On Hostile Ground|2595
Blow|52937130
Chopper|234259
Christmas in the Clouds|223335
Dead or Alive: Hanzaisha|1841
The Glass House|17951431
Slip hestene løs|1012432
An American Rhapsody|850023
Ayurveda: Art of Being|16892
Borstal Boy|87074
Beautiful Creatures|55381
Fifty|3328240
Hey Ram|274675
Hum Tumhare Hain Sanam|404000
Phir Bhi Dil Hai Hindustani|588606
The Broken Hearts Club: A Romantic Comedy|1744858
Brother|447750
Injeong sajeong bol geot eobtda|22007
Off the Lip|14773
Pay It Forward|33508922
Tupac Shakur: Words Never Die|19000000
Mua he chieu thang dung|456387
Angel Eyes|24044532
Blue Moon|56304
Dillagi|463159
El mar de Lucas|97273
Pyrus på pletten|406860
Shadow Hours|37221
Wolves|5471376
Chelsea Walls|59675
Made|5308707
Plata quemada|241484
The Score|71069884
Spy Kids|112692062
Tortilla Heaven|104999
The Trial of Old Drum|1025
The 51st State|5204007
Drôle de Félix|362572
Ghosts of Mars|8434601
Otesánek|116710
Proof of Life|32598931
Les rivières pourpres|69316
Sleepwalker|193529
Green Dragon|281803
Book of Shadows: Blair Witch 2|26421314
Dinner Rush|110000
The Legend of Blood Mountain|1250000
Le pique-nique de Lulu Kreutz|4841
Atlantis: The Lost Empire|84052762
Bartleby|141367
Bedazzled|37879996
La confusion des genres|49029
In the Light of the Moon|5708
In Search of Peace|7000
Mayor of the Sunset Strip|257315
One Day in September|155158
The Others|96471845
Signs & Wonders|33842
Sweet November|25178165
Virtue|4066
Crocodile Dundee in Los Angeles|25590119
Deuces Wild|6044618
Down to Earth|64172251
Levottomat|16239
Mela|138261
Merci pour le chocolat|443238
The Fast and the Furious|144512310
3000 Miles to Graceland|15738632
Après la vie|26165
Benjamin Smoke|36807
Cavale|64796
Collateral Damage|40048332
CyberWorld|11243622
Englar alheimsins|801924
The Eyes of Tammy Faye|1025234
Famous|112521
Baran|125900
Kaho Naa... Pyaar Hai|356000
Love & Sex|546287
The Matrix Reloaded|281492479
Musíme si pomáhat|1320112
Novocaine|2025238
Our Song|254199
Pettson och Findus - katten och gubbens år|423159
Rat|2501
Die Stille nach dem Schuß|671565
Summer Catch|19693891
Suzhou he|96330
The Tao of Steve|4340373
Un couple épatant|47602
La ville est tranquille|51987
Wo de fu qin mu qin|1280090
À l'attaque!|7597
Ôdishon|213139
Dark Days|426687
Love and a Bullet|16853
Mirakel|584092
The Salton Sea|764554
The Waiting Game|19381
Aïe|228
The Ballad of Ramblin' Jack|221893
Better Than Sex|94940
Blinkende lygter|2881123
Born Romantic|14597
The Filth and the Fury|606643
Josie and the Pussycats|14252830
The Original Kings of Comedy|38168022
Long Night's Journey Into Day|9932
Margarita Happy Hour|10668
The Mexican|66808615
Paragraph 175|65719
Promenons-nous dans les bois|56119
Running on the Sun: The Badwater 135|2464
The Tailor of Panama|13729742
Grev Axel|178625
Le pacte des loups|10928863
Pane e tulipani|5311177
The Pledge|19719930
The Sculptress|9972
Twilight: Los Angeles|8654
101 Reykjavík|12182
15 février 1839|248093
All Access: Front Row. Backstage. Live!|993040
Bounce: Behind the Velvet Rope|7502
Captain Corelli's Mandolin|25543895
God's Army|2631466
Ivansxtc|21378
Equilibrium|1203974
Queen of the Damned|30336800
Replicant|848053
Shadow Magic|149258
Superstar Female Serial Killer|954
Alien Adventure|5017087
I cento passi|1805884
The Dangerous Lives of Altar Boys|1779284
Devdas|3500000
Double Take|29823162
L'anglaise et le duc|329845
O Fantasma|125651
Cats & Dogs|93375151
Les filles ne savent pas nager|68460
Peaches|160000
Saving Silverman|19351569
Say It Isn't So|5516708
Sidewalks of New York|2402459
Tosca|63751
Une hirondelle a fait le printemps|183266
Water|3222857
The Center of the World|1096037
La ciénaga|103215
Dr. Dolittle 2|112950721
Kung Pow: Enter the Fist|16033556
The Four Feathers|18306166
Freddy Got Fingered|14249005
Ocean's Eleven|183405771
Serendipity|50255310
Slackers|4814244
Sound and Fury|113512
Sous le sable|1450106
Till Human Voices Wake Us|120079
Vanity Fair|16136476
Chocolat|71309760
Harry Potter and the Sorcerer's Stone|317557891
The New Guy|28972187
Bully|510092
The Affair of the Necklace|430313
Dude, Where's My Car?|46729374
Exit Wounds|51758599
Harvard Man|56653
L.I.E.|1141829
The Matrix Revolutions|139259759
Presque rien|316784
Va savoir|907323
Valentine|20384136
Waking Life|2892011
Anna|20508
The Man Who Wasn't There|7494849
Le battement d'ailes du papillon|125717
Bridget Jones's Diary|71500556
À ma soeur!|724116
Mau Mau Sex Sex|2781
Mercy Streets|171988
Naomi's Web|2500000
Det okända.|81096
Le placard|6671454
Stuart Little 2|64736114
This Is Not an Exit: The Fictional World of Bret Easton Ellis|869
Wet Hot American Summer|292102
40 Days and 40 Nights|69588
The American Astronaut|38170
Italiensk for begyndere|4447186
Yurîka|46635
Big Brother Trouble|500976
American Outlaws|13264986
Never Again|295468
Le roi danse|772148
Swordfish|69772969
Yi yi|235951
Cuba feliz|22071
Tmavomodrý svet|258215
Eu Tu Eles|323403
Funny Money|1839
Hadh Kar Di Aapne|76057
Pavilion of Women|35938
Someone Like You...|27338033
Bænken|1152925
Charlotte Gray|668140
The Fluffer|563373
The Forsaken|6755271
Haridas|219000
Zus & zo|28397
Invincible|80636
Lost and Delirious|302365
Michael Jordan to the Max|18642318
P.S. Your Cat Is Dead!|28454
Crush|1080072
Sen to Chihiro no kamikakushi|10049886
Just a Kiss|63797
Windtalkers|40911830
Women|36991
XX/XY|103874
Y tu mamá también|13622333
Thir13en Ghosts|41867960
Joe Dirt|27087695
Amores perros|5383834
Bulletproof Monk|23020488
Chal Mere Bhai|131137
Chunhyangdyun|798220
The Count of Monte Cristo|54234062
Extreme Days|739390
Forgive Me Father|438906
Guizi lai le|18223
Kingdom Come|23247539
Maze|16974
Svadba|16799
Lucky Break|54606
Takhté siah|3417
The 24th Day|14107
Die Another Day|160854135
Big Trouble|7262288
Who Is Cletis Tout?|252227
The Musketeer|27053815
Donnie Darko|727883
Dummy|71305
Focus|717820
Heaven|774317
Gamle mænd i nye biler|118967
Lumumba|684121
Bella Martha|4158045
Rollerball|18990798
Tomcats|13558739
Before Night Falls|4221817
The Believer|406035
The Code Conspiracy|11497880
Down|163309
Les glaneurs et la glaneuse|149834
In the Bedroom|35918429
Juwanna Mann|13571817
Nueve reinas|1221261
The Princess Diaries|108244774
Super Troopers|18488314
Two Days, Nine Lives|7201389
Dykkerne|387281
Fiza|623791
Kabhi Khushi Kabhie Gham...|2902000
Manna from Heaven|505675
