Title|Gross
Le notti di Cabiria|752045
Peyton Place|25600000
The Pride and the Passion|8750000
Saint Joan|400000
Sayonara|26300000
Witness for the Prosecution|9000000
Young and Dangerous|1624
Ascenseur pour l'échafaud|263404
Attack of the 50 Foot Woman|480000
Auntie Mame|23300000
Cat on a Hot Tin Roof|17570324
The Fly|3000000
Jalsaghar|94886
Macabre|5000000
Separate Tables|7400000
South Pacific|36800000
Touch of Evil|2237659
Vertigo|1718928
Apur Sansar|16000
Ben-Hur|70000000
Classe tous risques|94552
A Hole in the Head|11000000
Imitation of Life|25000000
The Immoral Mr. Teas|1500000
The Killer Shrews|1000000
North by Northwest|13275000
Operation Petticoat|23300000
Pillow Talk|18750000
Porgy and Bess|3500000
Sleeping Beauty|13235215
Some Like It Hot|25000000
Les yeux sans visage|52709
À bout de souffle|67464
The Alamo|2000000
The Apartment|25000000
Les bonnes femmes|6578
Cinderfella|4700000
Devi|93215
La dolce vita|19516000
Exodus|21750000
Flaming Star|900
Macumba Love|3000000
Midnight Lace|7400000
Mughal-E-Azam|161434
Peeping Tom|83957
Please Don't Eat the Daisies|11100000
Pote tin Kyriaki|8000000
Psycho|32000000
Spartacus|30000000
L'année dernière à Marienbad|143381
Blue Hawaii|10440453
Breakfast at Tiffany's|8000000
Le combat dans l'île|29183
Le doulos|82772
El Cid|26620000
The Exiles|26517
King of Kings|25000000
The Last Time I Saw Archie|1200000
Léon Morin, prêtre|27005
One Hundred and One Dalmatians|60830285
The Parent Trap|25150385
Pit and the Pendulum|2000000
Il posto|8852
Teen Kanya|81200
Une femme est une femme|99658
West Side Story|43656822
Dr. No|16067035
Girls! Girls! Girls!|2600000
Hatari!|14000000
How the West Was Won|35000000
Kid Galahad|1750000
Lawrence of Arabia|342481
The Longest Day|39100000
Mafioso|398614
The Music Man|14953846
Premature Burial|1250000
State Fair|3500000
Taras Bulba|4000000
That Touch of Mink|14628923
Tickle Me|1480000
To Kill a Mockingbird|13129846
What Ever Happened to Baby Jane?|9000000
8½|50690
La baie des anges|85840
Billy Liar|35609
The Birds|11403529
Blood Feast|4000000
Cleopatra|48000000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|74621
L'eroe di Babilonia|1800000
From Russia with Love|24796765
Fun in Acapulco|1500000
Zuo ye meng hun zhong|775986
Irma la Douce|20000000
It Happened at the World's Fair|2250000
It's a Mad Mad Mad Mad World|46332858
Kissin' Cousins|2800000
Le mépris|153141
The Pink Panther|10878107
The Sword in the Stone|12000000
Tom Jones|50000000
The V.I.P.s|14000000
Bande à part|182857
The Carpetbaggers|40000000
Charulata|77820
The Fall of the Roman Empire|4750000
Goldfinger|51081062
A Hard Day's Night|1000549
Hush...Hush, Sweet Charlotte|7000000
Le journal d'une femme de chambre|17754
Marnie|7000000
Mary Poppins|102300000
The Night of the Iguana|12000000
Les parapluies de Cherbourg|18425
Per un pugno di dollari|3500000
Roustabout|3000000
A Shot in the Dark|12368234
Soy Cuba|160697
Viva Las Vegas|5125000
The Agony and the Ecstasy|4000000
La battaglia di Algeri|815345
Darling|12000000
Doctor Zhivago|111721910
Genghis Khan|3892
Girl Happy|3100000
Giulietta degli spiriti|78550
The Greatest Story Ever Told|12000000
Harum Scarum|1500000
The Knack ...and How to Get It|8000000
Major Dundee|14873
Paradise, Hawaiian Style|2500000
Paris vu par...|13949
Per qualche dollaro in più|15000000
Rekopis znaleziony w Saragossie|118971
The Sandpiper|14000000
Shenandoah|17268889
The Sons of Katie Elder|6000000
The Sound of Music|163214286
Thunderball|63600000
The Train|6000000
Au hasard Balthazar|39388
Blowup|20000000
Il buono, il brutto, il cattivo.|19000000
2 ou 3 choses que je sais d'elle|101944
The Fortune Cookie|6800000
Made in U.S.A.|81105
A Man for All Seasons|25000000
Masculin féminin: 15 faits précis|200087
The Sand Pebbles|20000000
Who's Afraid of Virginia Woolf?|28000000
The Wild Angels|14000000
Les aventuriers|325527
Barefoot in the Park|19994515
Belle de jour|4037017
The Taming of the Shrew|8000000
Bonnie and Clyde|50000000
The Born Losers|36000000
Caprice|4075000
Casino Royale|22744718
La chinoise|26803
The Comedians|5200000
The Dirty Dozen|45300000
Doctor Dolittle|9000000
Double Trouble|1600000
Easy Come, Easy Go|1950000
El Dorado|6000000
The Graduate|75702
Guess Who's Coming to Dinner|56700000
Jag är nyfiken - en film i gult|20238100
The Jungle Book|44645619
Komissar|388029
Le samouraï|39481
Thoroughly Modern Millie|40000000
The Trip|10000000
Two for the Road|12000000
Valley of the Dolls|44432255
Wait Until Dark|11000000
The War Wagon|6000000
You Only Live Twice|43084787
Les aventures de Tom Sawyer|4037982
2001: A Space Odyssey|56715371
Barbarella|613285
Coogan's Bluff|3110000
Les demoiselles de Rochefort|88463
Funny Girl|223306
The Lion in Winter|22276975
Night of the Living Dead|12000000
Oliver!|16800000
Planet of the Apes|32600000
The Producers|111866
Romeo and Juliet|38901218
Speedway|3000000
Star!|4000000
Le vieil homme et l'enfant|50710
Where Were You When the Lights Went Out?|7988000
With Six You Get Eggroll|10095200
Yours, Mine and Ours|17000000
Alice's Restaurant|6300000
L'armée des ombres|741733
Bob & Carol & Ted & Alice|30000000
Butch Cassidy and the Sundance Kid|96700000
C'era una volta il West|5321508
Che!|2000000
De Sade|1250000
Easy Rider|60000000
L'enfant sauvage|59181
Marooned|4350000
Midnight Cowboy|44785053
Monterey Pop|1524
On Her Majesty's Secret Service|22774493
Paint Your Wagon|31678778
The Plot Against Harry|274182
