title|year|director|gross|releasedate
Seabiscuit|2003|Gary Ross|120147445|2003/7/25
Four Christmases|2008|Seth Gordon|120146040|2008/11/26
Inglourious Basterds|2009|Quentin Tarantino|119873433|2009/8/21
Blazing Saddles|1974|Mel Brooks|119500000|1974/2/7
G-Force|2009|Hoyt Yeatman|118903901|2009/7/24
Hairspray|2007|Adam Shankman|118823091|2007/7/20
The Break-Up|2006|Peyton Reed|118683135|2006/6/2
Lemony Snicket's A Series of Unfortunate Events|2004|Mohammed Davoudian|118634549|2004/12/17
Back to the Future Part II|1989|Robert Zemeckis|118500000|1989/11/22
The Sum of All Fears|2002|Phil Alden Robinson|118471320|2002/5/31
Blades of Glory|2007|Josh Gordon|118153533|2007/3/30
Basic Instinct|1992|Paul Verhoeven|117727000|1992/3/20
Big Momma's House|2000|Raja Gosnell|117559438|2000/6/2
Double Jeopardy|1999|Bruce Beresford|116735231|1999/9/24
Notting Hill|1999|Roger Michell|116006080|1999/5/28
The Towering Inferno|1974|Irwin Allen|116000000|1974/12/14
Ghost Rider|2007|Mark Steven Johnson|115802596|2007/2/16
You've Got Mail|1998|Nora Ephron|115731542|1998/12/18
Remember the Titans|2000|Boaz Yakin|115648585|2000/9/29
Big|1988|Penny Marshall|114968774|1988/6/3
The Village|2004|M. Night Shyamalan|114195633|2004/7/30
Bolt|2008|Byron Howard|114053579|2008/11/21
Wild Wild West|1999|Barry Sonnenfeld|113745408|1999/6/30
The Addams Family|1991|Barry Sonnenfeld|113502000|1991/11/22
The Pacifier|2005|Adam Shankman|113006880|2005/3/4
Spy Kids|2001|Robert Rodriguez|112692062|2001/8/8
Ghostbusters II|1989|Ivan Reitman|112494738|1989/6/16
One Flew Over the Cuckoo's Nest|1975|Milos Forman|112000000|1975/11/20
Doctor Zhivago|1965|David Lean|111721910|1999/9/28
Enemy of the State|1998|Tony Scott|111544445|1998/11/20
Tropic Thunder|2008|Ben Stiller|110416702|2008/8/13
Freaky Friday|2003|Mark Waters|110230332|2003/8/6
Bedtime Stories|2008|Adam Shankman|109993847|2008/12/25
The Little Mermaid|1989|Ron Clements|109859444|1998/3/31
'Crocodile' Dundee II|1988|John Cornell|109305000|1988/5/25
Ace Ventura: When Nature Calls|1995|Steve Oedekerk|108344348|1995/11/10
The Princess Diaries|2001|Garry Marshall|108244774|2001/8/3
Pulp Fiction|1994|Quentin Tarantino|107928762|2008/6/21
A League of Their Own|1992|Penny Marshall|107458785|1992/7/1
Miss Congeniality|2000|Donald Petrie|106807667|2000/12/22
Chicken Run|2000|Peter Lord|106793915|2000/6/21
Analyze This|1999|Harold Ramis|106694016|1999/3/5
Indecent Proposal|1993|Adrian Lyne|106614100|1993/4/7
Driving Miss Daisy|1989|Bruce Beresford|106593296|1990/1/26
Love Story|1970|Arthur Hiller|106400000|1970/12/16
The Italian Job|2003|F. Gary Gray|106126012|2003/8/29
The First Wives Club|1996|Hugh Wilson|105444419|1996/9/20
George of the Jungle|1997|Sam Weisman|105263257|1997/7/16
Porky's|1982|Bob Clark|105124546|1982/3/19
Phenomenon|1996|Patience More|104632573|1996/7/3
American Wedding|2003|Jesse Dylan|104565114|2003/8/1
Road to Perdition|2002|Sam Mendes|104054514|2002/7/12
Dick Tracy|1990|Warren Beatty|103738726|1990/6/15
Nine to Five|1980|Colin Higgins|103290500|1980/12/19
Dreamgirls|2006|Bill Condon|103063211|2006/12/25
The Aviator|2004|Martin Scorsese|102593534|2004/12/25
Daredevil|2003|Mark Steven Johnson|102543518|2003/2/14
The Mummy: Tomb of the Dragon Emperor|2008|Rob Cohen|102491776|2008/8/1
In the Line of Fire|1993|Wolfgang Petersen|102314283|1993/7/9
Mary Poppins|1964|Robert Stevenson|102300000|2000/11/12
The Goodbye Girl|1977|Sam Again|102000000|1977/11/30
American Pie|1999|Chris Weitz|101736215|1999/7/9
Journey to the Center of the Earth|2008|Eric Brevig|101702060|2008/7/11
Superman II|1980|Richard Lester|101347629|1981/6/19
Stir Crazy|1980|Sidney Poitier|101300000|1980/12/12
The Prince of Egypt|1998|Brenda Chapman|101217900|1998/12/18
Eagle Eye|2008|D.J. Caruso|101111837|2008/9/26
Con Air|1997|Simon West|101087161|1997/6/6
Contact|1997|Robert Zemeckis|100853835|1997/7/11
The Pelican Brief|1993|Alan J. Pakula|100768056|1993/12/17
Vanilla Sky|2001|Cameron Crowe|100614858|2001/12/14
The Rugrats Movie|1998|Igor Kovalyov|100491683|1998/11/20
Jumanji|1995|Joe Johnston|100475249|1995/12/15
Step Brothers|2008|Baby Cop Cop|100468793|2008/7/25
The Cat in the Hat|2003|Bo Welch|100446895|2003/11/21
Million Dollar Baby|2004|Clint Eastwood|100422786|2005/1/28
