Alice Doesn't Live Here Anymore|1974|Martin Scorsese
Benji|1974|Joe Camp
Black Christmas|1974|Bob Clark
Black Christmas|2006|Glen Morgan
Blazing Saddles|1974|Mel Brooks
Dirty Mary Crazy Larry|1974|John Hough
Earthquake|1974|Mark Robson
The Great Gatsby|1974|Jack Clayton
The Groove Tube|1974|Ken Shapiro
Hearts and Minds|1974|Peter Davis
Herbie Rides Again|1974|Robert Stevenson
The Holy Mountain|1973|Alejandro Jodorowsky
The Longest Yard|1974|Sweet Charlotte Hush...Hush
The Longest Yard|2005|Thalus I
Macon County Line|1974|Richard Compton
The Man with the Golden Gun|1974|Guy Hamilton
Monty Python and the Holy Grail|1975|Terry Gilliam
The Towering Inferno|1974|Irwin Allen
Young Frankenstein|1974|Mel Brooks
The Adventures of the Wilderness Family|1975|Stewart Raffill
At Long Last Love|1975|Peter Bogdanovich
The Great Waldo Pepper|1975|George Roy Hill
Love and Death|1975|Woody Allen
Picnic at Hanging Rock|1975|Peter Weir
Professione: reporter|1975|Carnevale Stromboli
The Rocky Horror Picture Show|1975|Jim Sharman
Rollerball|1975|Gaily Gaily
Rollerball|2002|John McTiernan
Rooster Cogburn|1975|Stuart Millar
Sharks' Treasure|1975|Cornel Wilde
Aloha Bobby and Rose|1975|Floyd Mutrux
All the President's Men|1976|Alan J. Pakula
The Bad News Bears|1976|Michael Ritchie
The Blue Bird|1976|George Cukor
Bugsy Malone|1976|Alan Parker
The Cassandra Crossing|1976|George P. Cosmatos
Family Plot|1976|Alfred Hitchcock
Marathon Man|1976|John Schlesinger
Murder by Death|1976|Robert Moore
The Omen|2006|John Moore
The Outlaw Josey Wales|1976|Clint Eastwood
Silent Movie|1976|Mel Brooks
Silver Streak|1976|Hear No Evil Evil
Taxi Driver|1976|New York York
Across the Great Divide|1976|Stewart Raffill
Annie Hall|1977|Woody Allen
Bobby Deerfield|1977|Sydney Pollack
A Bridge Too Far|1977|Richard Attenborough
The Choirboys|1977|Sweet Charlotte Hush...Hush
The Deep|1977|Peter Yates
Exorcist II: The Heretic|1977|John Boorman
Freaky Friday|1976|Gary Nelson
Freaky Friday|2003|Mark Waters
The Gauntlet|1977|Clint Eastwood
The Goodbye Girl|1977|Sam Again
High Anxiety|1977|Mel Brooks
Xing xing wang|1977|Meng Hua Ho
March or Die|1977|Dick Richards
Kingdom of the Spiders|1977|John 'Bud' Cardos
The Other Side of Midnight|1977|Charles Jarrott
The Rescuers|1977|John Lounsbery
Slap Shot|1977|George Roy Hill
Smokey and the Bandit|1977|Hal Needham
Something for Joey|1977|Lou Antonio
The Betsy|1978|Lonely Night Night
Beyond and Back|1978|James L. Conway
Brass Target|1978|John Hough
Caravans|1978|James Fargo
Convoy|1978|Sam Peckinpah
Damien: Omen II|1978|Mike Hodges
Dawn of the Dead|1978|George A. Romero
Days of Heaven|1978|Terrence Malick
Death on the Nile|1978|John Guillermin
Every Which Way But Loose|1978|James Fargo
Eyes of Laura Mars|1978|Irvin Kershner
Faces of Death|1978|John Alan Schwartz
Halloween|1978|the Space Monster Gorgon
Halloween|2007|Rob Zombie
Heaven Can Wait|1978|Warren Beatty
House Calls|1978|Howard Zieff
Interiors|1978|Woody Allen
Invasion of the Body Snatchers|1978|Philip Kaufman
King of the Gypsies|1978|Frank Pierson
Midnight Express|1978|Alan Parker
Moment by Moment|1978|Jane Wagner
Animal House|1978|John Landis
Paradise Alley|1978|Sylvester Stallone
Straight Time|1978|Ulu Grosbard
The Swarm|1978|Irwin Allen
Thank God It's Friday|1978|Robert Klane
Up in Smoke|1978|the Fabulous Stains Gentlemen
The Wiz|1978|quand du seigneur Rachel
All That Jazz|1979|Bob Fosse
The Amityville Horror|2005|Andrew Douglas
Apocalypse Now|1979|Francis Ford Coppola
The Black Hole|1979|Murder You Me
The Black Stallion|1979|Carroll Ballard
Breaking Away|1979|Peter Yates
Cuba|1979|Richard Lester
Escape from Alcatraz|1979|Don Siegel
The Fish That Saved Pittsburgh|1979|Gilbert Moses
A Force of One|1979|Paul Aaron
The Frisco Kid|1979|Sweet Charlotte Hush...Hush
Kita-kitsune monogatari|1978|Koreyoshi Kurahara
Good Guys Wear Black|1978|or Mutilate Spindle
The Great Santini|1979|Lewis John Carlino
The First Great Train Robbery|1979|Michael Crichton
Hanover Street|1979|My Love Goodnight
The Late Great Planet Earth|1979|Rolf Forsberg
Lost and Found|1979|Melvin Frank
Love at First Bite|1979|Stan Dragoti
Manhattan|1979|Woody Allen
Meatballs|1979|Ivan Reitman
Meteor|1979|Ronald Neame
More American Graffiti|1979|Bill L. Norton
The Muppet Movie|1979|James Frawley
The Onion Field|1979|Harold Becker
Phantasm|1979|Don Coscarelli
The Prisoner of Zenda|1979|Mama's Hung You in the Closet and I'm Feeling So Sad Dad
Rocky II|1979|Sylvester Stallone
Starting Over|1979|Alan J. Pakula
Wanda Nevada|1979|Peter Fonda
'Breaker' Morant|1980|Bruce Beresford
Nine to Five|1980|Colin Higgins
Altered States|1980|Ken Russell
American Gigolo|1980|Paul Schrader
Any Which Way You Can|1980|Buddy Horn
The Blue Lagoon|1980|I Shrunk the Audience Honey
The Boogeyman|1980|My Love Marilyn
Bronco Billy|1980|Clint Eastwood
Brubaker|1980|Bob Rafelson
Caddyshack|1980|Harold Ramis
Caligola|1979|Tinto Brass
Can't Stop the Music|1980|Nancy Walker
A Change of Seasons|1980|Noel Black
Cheech & Chong's Next Movie|1980|Tommy Chong
